t,T_tr,T_v,rho_N2,rho_N,rho_O2,rho_O,rho_NO
1e-14,15000,300,0.767,5.91446e-26,0.233,1.08889e-15,0
2e-14,14998.9,423.084,0.767,2.05127e-22,0.233,7.16327e-14,3.40585e-26
3e-14,14996.6,506.841,0.767,8.78148e-21,0.233,5.44561e-13,7.66191e-24
4e-14,14993.2,578.896,0.767,1.16429e-19,0.233,2.25563e-12,1.40353e-22
5e-14,14988.7,645.375,0.767,8.65981e-19,0.233,6.83417e-12,1.17594e-21
6e-14,14983,708.872,0.767,4.53072e-18,0.233,1.70582e-11,6.43767e-21
7e-14,14976.3,770.771,0.767,1.86641e-17,0.233,3.72804e-11,2.68064e-20
8e-14,14968.4,831.917,0.767,6.45989e-17,0.233,7.39277e-11,9.20641e-20
9e-14,14959.3,892.871,0.767,1.95718e-16,0.233,1.36078e-10,2.73836e-19
1e-13,14949.2,954.03,0.767,5.3361e-16,0.233,2.36114e-10,7.2826e-19
1.1e-13,14938,1015.69,0.767,1.33502e-15,0.233,3.90444e-10,1.77032e-18
1.2e-13,14925.6,1078.08,0.767,3.10921e-15,0.233,6.20301e-10,3.9966e-18
1.3e-13,14912.1,1141.38,0.767,6.81436e-15,0.233,9.52596e-10,8.47935e-18
1.4e-13,14897.6,1205.74,0.767,1.41732e-14,0.233,1.42082e-09,1.70616e-17
1.5e-13,14881.9,1271.28,0.767,2.81625e-14,0.233,2.06599e-09,3.27916e-17
1.6e-13,14865.2,1338.11,0.767,5.37488e-14,0.233,2.93762e-09,6.05443e-17
1.7e-13,14847.3,1406.3,0.767,9.8963e-14,0.233,4.0947e-09,1.07887e-16
1.8e-13,14828.4,1475.94,0.767,1.76428e-13,0.233,5.60666e-09,1.86256e-16
1.9e-13,14808.4,1547.09,0.767,3.05483e-13,0.233,7.5543e-09,3.12525e-16
2e-13,14787.4,1619.8,0.767,5.15063e-13,0.233,1.00307e-08,5.11053e-16
2.1e-13,14765.3,1694.13,0.767,8.47537e-13,0.233,1.31422e-08,8.16309e-16
2.2e-13,14742.2,1770.11,0.767,1.36371e-12,0.233,1.70087e-08,1.27617e-15
2.3e-13,14718,1847.79,0.767,2.14923e-12,0.233,2.1765e-08,1.95604e-15
2.4e-13,14692.8,1927.19,0.767,3.32264e-12,0.233,2.75608e-08,2.94383e-15
2.5e-13,14666.5,2008.34,0.767,5.0454e-12,0.233,3.45612e-08,4.35601e-15
2.6e-13,14639.3,2091.26,0.767,7.53401e-12,0.233,4.29473e-08,6.34477e-15
2.7e-13,14611,2175.97,0.767,1.10747e-11,0.233,5.29161e-08,9.10643e-15
2.8e-13,14581.8,2262.49,0.767,1.60404e-11,0.233,6.46804e-08,1.28912e-14
2.9e-13,14551.5,2350.82,0.767,2.29117e-11,0.233,7.8469e-08,1.80142e-14
3e-13,14520.3,2440.98,0.767,3.22989e-11,0.233,9.45261e-08,2.48685e-14
3.1e-13,14488.2,2532.97,0.767,4.49694e-11,0.233,1.13111e-07,3.39387e-14
3.2e-13,14455.1,2626.8,0.767,6.1877e-11,0.233,1.34497e-07,4.58171e-14
3.3e-13,14421,2722.46,0.767,8.41944e-11,0.233,1.58972e-07,6.12211e-14
3.4e-13,14386.1,2819.95,0.767,1.1335e-10,0.233,1.86837e-07,8.10114e-14
3.5e-13,14350.2,2919.27,0.767,1.51064e-10,0.233,2.18402e-07,1.06213e-13
3.6e-13,14313.4,3020.41,0.767,1.99396e-10,0.233,2.53992e-07,1.38036e-13
3.7e-13,14275.7,3123.36,0.767,2.60781e-10,0.233,2.9394e-07,1.77899e-13
3.8e-13,14237.1,3228.11,0.767,3.38081e-10,0.233,3.38585e-07,2.27453e-13
3.9e-13,14197.7,3334.65,0.767,4.3463e-10,0.233,3.88277e-07,2.88609e-13
4e-13,14157.4,3442.97,0.767,5.54283e-10,0.233,4.4337e-07,3.63557e-13
4.1e-13,14116.3,3553.04,0.767,7.01462e-10,0.232999,5.04222e-07,4.548e-13
4.2e-13,14074.4,3664.86,0.767,8.81208e-10,0.232999,5.71194e-07,5.65178e-13
4.3e-13,14031.7,3778.4,0.767,1.09922e-09,0.232999,6.4465e-07,6.97893e-13
4.4e-13,13988.1,3893.64,0.767,1.36192e-09,0.232999,7.24952e-07,8.56539e-13
4.5e-13,13943.8,4010.56,0.767,1.67646e-09,0.232999,8.12464e-07,1.04513e-12
4.6e-13,13898.7,4129.14,0.767,2.0508e-09,0.232999,9.07544e-07,1.26811e-12
4.7e-13,13852.9,4249.36,0.767,2.49371e-09,0.232999,1.01055e-06,1.53042e-12
4.8e-13,13806.3,4371.18,0.767,3.01483e-09,0.232999,1.12183e-06,1.83747e-12
4.9e-13,13759,4494.58,0.767,3.62469e-09,0.232999,1.24173e-06,2.19519e-12
5e-13,13711,4619.54,0.767,4.33469e-09,0.232999,1.37058e-06,2.61006e-12
5.1e-13,13662.4,4746.03,0.767,5.15719e-09,0.232998,1.50872e-06,3.08911e-12
5.2e-13,13613,4874.01,0.767,6.10544e-09,0.232998,1.65646e-06,3.63996e-12
5.3e-13,13563,5003.47,0.767,7.19364e-09,0.232998,1.81411e-06,4.27081e-12
5.4e-13,13512.3,5134.35,0.767,8.4369e-09,0.232998,1.98197e-06,4.99048e-12
5.5e-13,13461,5266.65,0.767,9.85124e-09,0.232998,2.16033e-06,5.80841e-12
5.6e-13,13409.1,5400.32,0.767,1.14536e-08,0.232998,2.34945e-06,6.73467e-12
5.7e-13,13356.6,5535.33,0.767,1.32617e-08,0.232997,2.5496e-06,7.77999e-12
5.8e-13,13303.5,5671.64,0.767,1.52942e-08,0.232997,2.76101e-06,8.95572e-12
5.9e-13,13249.9,5809.23,0.767,1.75704e-08,0.232997,2.98393e-06,1.02739e-11
6e-13,13195.7,5948.06,0.767,2.01105e-08,0.232997,3.21856e-06,1.17471e-11
6.1e-13,13141,6088.1,0.767,2.29354e-08,0.232997,3.46511e-06,1.33888e-11
6.2e-13,13085.7,6229.3,0.767,2.60665e-08,0.232996,3.72377e-06,1.52129e-11
6.3e-13,13030,6371.64,0.767,2.95258e-08,0.232996,3.99469e-06,1.7234e-11
6.4e-13,12973.8,6515.08,0.767,3.33358e-08,0.232996,4.27805e-06,1.94673e-11
6.5e-13,12917.1,6659.58,0.767,3.75196e-08,0.232995,4.57398e-06,2.19287e-11
6.6e-13,12859.9,6805.1,0.767,4.21005e-08,0.232995,4.88259e-06,2.46348e-11
6.7e-13,12802.4,6951.61,0.767,4.7102e-08,0.232995,5.20401e-06,2.76026e-11
6.8e-13,12744.4,7099.08,0.767,5.2548e-08,0.232994,5.53832e-06,3.08498e-11
6.9e-13,12686,7247.46,0.767,5.84625e-08,0.232994,5.8856e-06,3.43947e-11
7e-13,12627.2,7396.71,0.767,6.48692e-08,0.232994,6.24592e-06,3.8256e-11
7.1e-13,12568.1,7546.81,0.767,7.17923e-08,0.232993,6.61931e-06,4.24531e-11
7.2e-13,12508.6,7697.71,0.767,7.92554e-08,0.232993,7.00582e-06,4.70059e-11
7.3e-13,12448.7,7849.37,0.767,8.72822e-08,0.232993,7.40547e-06,5.19346e-11
7.4e-13,12388.6,8001.76,0.767,9.58958e-08,0.232992,7.81826e-06,5.72601e-11
7.5e-13,12328.1,8154.85,0.767,1.05119e-07,0.232992,8.24417e-06,6.30035e-11
7.6e-13,12267.4,8308.58,0.767,1.14975e-07,0.232991,8.6832e-06,6.91866e-11
7.7e-13,12206.4,8462.93,0.767,1.25484e-07,0.232991,9.13531e-06,7.58314e-11
7.8e-13,12145.1,8617.86,0.767,1.36669e-07,0.23299,9.60045e-06,8.29603e-11
7.9e-13,12083.6,8773.32,0.767,1.4855e-07,0.23299,1.00786e-05,9.05959e-11
8e-13,12021.9,8929.29,0.767,1.61147e-07,0.232989,1.05696e-05,9.87615e-11
8.1e-13,11960,9085.73,0.767,1.74479e-07,0.232989,1.10734e-05,1.0748e-10
8.2e-13,11897.8,9242.6,0.767,1.88564e-07,0.232988,1.159e-05,1.16776e-10
8.3e-13,11835.5,9399.85,0.767,2.03419e-07,0.232988,1.21192e-05,1.26672e-10
8.4e-13,11773.1,9557.46,0.767,2.19061e-07,0.232987,1.26609e-05,1.37192e-10
8.5e-13,11710.5,9715.4,0.767,2.35505e-07,0.232987,1.3215e-05,1.48361e-10
8.6e-13,11647.7,9873.61,0.767,2.52764e-07,0.232986,1.37814e-05,1.60204e-10
8.7e-13,11584.9,10032.1,0.767,2.70854e-07,0.232986,1.436e-05,1.72744e-10
8.8e-13,11521.9,10190.7,0.767,2.89784e-07,0.232985,1.49505e-05,1.86005e-10
8.9e-13,11458.9,10349.6,0.767,3.09566e-07,0.232984,1.55529e-05,2.00014e-10
9e-13,11395.7,10508.6,0.767,3.3021e-07,0.232984,1.61669e-05,2.14794e-10
9.1e-13,11332.6,10667.7,0.767,3.51724e-07,0.232983,1.67925e-05,2.30369e-10
9.2e-13,11269.4,10826.8,0.767,3.74115e-07,0.232983,1.74294e-05,2.46765e-10
9.3e-13,11206.1,10986,0.767,3.9739e-07,0.232982,1.80774e-05,2.64007e-10
9.4e-13,11142.9,11145.2,0.767,4.21552e-07,0.232981,1.87365e-05,2.82118e-10
9.5e-13,11079.6,11304.4,0.767,4.46607e-07,0.232981,1.94063e-05,3.01123e-10
9.6e-13,11016.4,11463.5,0.767,4.72555e-07,0.23298,2.00868e-05,3.21047e-10
9.7e-13,10953.2,11622.5,0.767,4.99398e-07,0.232979,2.07777e-05,3.41914e-10
9.8e-13,10890,11781.4,0.766999,5.27135e-07,0.232979,2.14787e-05,3.63748e-10
9.9e-13,10826.9,11940.1,0.766999,5.55767e-07,0.232978,2.21898e-05,3.86574e-10
1e-12,10763.8,12098.7,0.766999,5.85289e-07,0.232977,2.29106e-05,4.10414e-10
1.01e-12,10700.8,12257,0.766999,6.15698e-07,0.232976,2.36411e-05,4.35293e-10
1.02e-12,10638,12415,0.766999,6.4699e-07,0.232976,2.43809e-05,4.61235e-10
1.03e-12,10575.2,12572.8,0.766999,6.79158e-07,0.232975,2.51299e-05,4.88261e-10
1.04e-12,10512.5,12730.2,0.766999,7.12196e-07,0.232974,2.58879e-05,5.16397e-10
1.05e-12,10450,12887.3,0.766999,7.46096e-07,0.232973,2.66545e-05,5.45664e-10
1.06e-12,10387.6,13044,0.766999,7.80847e-07,0.232973,2.74297e-05,5.76085e-10
1.07e-12,10325.4,13200.3,0.766999,8.16441e-07,0.232972,2.82132e-05,6.07682e-10
1.08e-12,10263.3,13356.2,0.766999,8.52866e-07,0.232971,2.90047e-05,6.40478e-10
1.09e-12,10201.4,13511.6,0.766999,8.9011e-07,0.23297,2.98041e-05,6.74494e-10
1.1e-12,10139.7,13666.5,0.766999,9.28161e-07,0.232969,3.06111e-05,7.09751e-10
1.11e-12,10078.2,13820.9,0.766999,9.67005e-07,0.232969,3.14256e-05,7.46272e-10
1.12e-12,10016.9,13974.8,0.766999,1.00663e-06,0.232968,3.22472e-05,7.84077e-10
1.13e-12,9955.87,14128.1,0.766999,1.04701e-06,0.232967,3.30758e-05,8.23187e-10
